Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,gdp_index_ch,gdp_index_eu,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2008-03-01,99.537,100.5651,95.7605294934529,2.6292707249173297,104.93983,151177.513589331,2850873.8,1.68235294117647,1.3125,1.894609,1.941904761904762,1.0881052857142857,-0.5258877619047597,2.4,115.5489,80.0526876499906,81.7,100.689,3.35,825688.0,-1.04251241,-3.76117068,3.05225873,126.5,1.9
2008-04-01,100.4263,101.3596,93.264617225524,2.5558729846657755,110.58101,152672.128899918,2839812.6,1.68235294117647,1.3125,1.850478,2.105363636363636,1.3067038181818182,-0.5007535000000001,2.0,116.3228,80.63767378364345,80.9,99.5125,3.4,831395.0,-0.64511863,-3.35826858,4.4214226,128.4,-0.6
2008-05-01,100.7428,102.1644,95.2120010662954,2.411104366164782,128.29845,152672.128899918,2839812.6,1.68235294117647,1.3125,1.796851,2.149681818181818,1.391421727272727,-0.4341291818181796,2.0,117.6775,79.70937519916723,84.0,97.4971,3.43,829463.0,-1.77875343,-3.72480666,3.60255878,129.1,-1.7
2008-06-01,100.5094,102.3373,94.0404986669764,2.317640692092299,137.23406,152672.128899918,2839812.6,2.145,1.455,1.860357,2.520952380952381,1.4603572857142857,-0.13124828571428981,2.0,118.3867,79.23187317494279,83.2,97.9334,3.45,835031.0,-2.61085459,-4.00302887,2.64608582,130.1,-4.0
2008-07-01,99.9163,101.8913,92.7836026485376,2.335021033760427,136.47109,153254.59367349,2826189.2,2.145,1.455,1.955679,2.4017391304347826,1.2500166521739127,-0.14649078260870052,1.9,119.0262,78.13405787969371,83.4,97.7105,3.47,835584.0,-2.37535304,-3.8431899,2.12493563,130.3,-6.3
2008-08-01,100.1294,101.6259,89.8106735552774,2.382550947710001,122.76224,153254.59367349,2826189.2,2.145,1.455,1.933609,2.3930952380952384,1.053057666666667,-0.4691569523809527,1.9,118.3764,78.56295680557949,83.5,96.0524,3.47,838870.0,-0.46171679,-2.35550524,2.9621766,129.7,-8.1
2008-09-01,100.3621,101.7284,85.2422187684561,2.431727687036292,107.94587,153254.59367349,2826189.2,2.456,1.56,1.666335,2.1107727272727272,1.217574090909091,-0.5149015909090888,1.9,117.7537,78.97841002023715,86.2,96.8808,3.47,845020.0,-0.42963693,-2.29867922,1.93844774,128.2,-10.9
2008-10-01,101.1089,102.2689,85.5211216974024,2.5455106526799676,81.81452,148816.192967534,2777606.6,2.456,1.56,0.522862,1.562913043478261,2.224051043478261,-0.6972744782608702,2.0,117.0538,74.58109006285999,82.4,100.4171,3.47,844761.0,4.63025484,1.02881891,2.8054845,126.9,-17.3
2008-11-01,101.189,101.5878,77.6774449541479,2.727446853144727,62.47283,148816.192967534,2777606.6,2.456,1.56,0.03909,1.6090499999999999,2.52931,-0.04187374999999971,2.0,115.3809,75.66243633044985,81.9,99.7362,3.16,849125.0,11.32603509,6.67136979,2.0858645,123.8,-25.5
2008-12-01,101.2267,101.0807,76.029695580161,3.0089273136883112,45.55372,148816.192967534,2777606.6,2.4144792666087,0.936028770826087,0.019608,0.8843043478260869,2.138000695652174,0.5955413043478295,2.0,114.5285,76.22556830832501,82.9,100.9159,2.82,844507.0,21.23420277,15.53808103,2.37281947,121.8,-32.8
2009-01-01,100.4814,100.2278,76.0712946592801,3.25387358664379,48.94176,146485.226553108,2695915.4,2.4144792666087,0.936028770826087,0.080879,0.6325454545454545,2.1662119090909093,1.6433949534215904,2.0,113.5598,71.94447330833623,82.6,103.2254,2.79,853122.0,28.67692769,22.3851683,3.57847395,122.0,-32.3
2009-02-01,100.7469,100.4641,74.7196693062394,3.3545072850487507,50.42749,146485.226553108,2695915.4,2.4144792666087,0.936028770826087,0.035864,0.46950000000000003,2.045086,2.25338825579123,2.0,112.8565,72.39281742744105,82.6,102.4385,2.78,855013.0,34.35211464,27.58967795,4.24032232,121.9,-35.6
2009-03-01,100.7292,100.1385,76.5470482983716,3.41305826113482,53.77771,146485.226553108,2695915.4,0.119403590045455,0.622727272727273,0.031394,0.5327272727272727,2.129606,2.5064713659199325,2.0,112.2953,72.7546032647849,82.4,102.4163,2.76,858741.0,36.98210332,30.60051292,3.85507628,121.5,-36.7
2009-04-01,101.651,101.0213,80.6196589345315,3.463628468087564,57.61202,147295.167786994,2695504.4,0.119403590045455,0.622727272727273,0.03359,0.5089090909090909,2.1665918181818187,2.66704316712587,2.1,112.102,71.63119302064192,82.1,101.4436,2.75,861902.0,38.94772262,32.96853746,3.20940733,121.6,-33.6
2009-05-01,101.6744,101.1824,90.5877363585529,3.423572607770786,63.46825,147295.167786994,2695504.4,0.119403590045455,0.622727272727273,0.034996,0.46214285714285713,2.3366706666666666,2.8514358514652205,2.1,111.8054,71.82121793759514,83.6,101.8387,2.75,860941.0,41.6872701,35.26946268,4.1057943,121.6,-31.0
2009-06-01,101.425,101.364,95.2895985235784,3.553418454781215,74.15819,147295.167786994,2695504.4,-0.38264933355,0.6928538112,0.020048,0.4999545454545455,2.507179272727273,3.0970540935653696,2.1,111.781,71.83689535788729,82.9,102.1506,2.74,868354.0,43.93137153,37.31538148,5.82040636,122.1,-28.7
2009-07-01,100.8648,100.6913,98.9313029782025,3.6829096009412745,69.45974,149288.797372048,2706153.3,-0.38264933355,0.6928538112,0.016977,0.4898695652173913,2.365283869565218,3.1136772643195596,2.2,111.7422,73.38319811136705,83.0,101.7331,2.74,869314.0,48.66141671,41.22266771,7.39178519,122.3,-25.9
2009-08-01,100.8067,100.8028,102.711492294298,3.8214202830107418,77.4578,149288.797372048,2706153.3,-0.38264933355,0.6928538112,0.018446,0.4832857142857143,2.137506380952381,3.03099233614812,2.2,111.8612,73.30513171680619,83.4,101.5709,2.74,871551.0,48.20994723,41.54224655,7.32095963,122.5,-21.9
2009-09-01,100.9362,100.7899,107.788060376667,3.912071686055291,70.28794,149288.797372048,2706153.3,-0.422115384615385,0.658653846153846,0.024256,0.5497272727272727,2.1901985454545456,3.09488059992542,2.2,112.0345,73.19174004436134,83.8,102.7072,2.74,873576.0,47.70907166,42.01151899,7.55296751,123.0,-19.8
2009-10-01,101.6792,101.4163,107.847564214084,4.0065487911288304,74.32162,150101.281770433,2718236.2,-0.422115384615385,0.658653846153846,0.045043,0.5898181818181819,2.1484115454545454,3.0663635928819106,2.1,111.5474,75.30431009597713,85.0,103.2601,2.74,877092.0,41.73954028,38.94933106,7.3701682,123.6,-17.1
2009-11-01,101.7537,101.6121,110.62084243486,4.153800315582414,77.66869,150101.281770433,2718236.2,-0.422115384615385,0.658653846153846,0.043573,0.5638095238095238,2.058331761904762,3.11877230184097,2.1,111.5404,75.30903600847763,82.8,103.3723,2.74,880303.0,31.84808097,31.36382902,8.22548214,124.5,-16.2
2009-12-01,101.6328,101.3664,112.413897386784,4.376501778064691,76.69818,150101.281770433,2718236.2,-0.369047619047619,0.71547619047619,0.031984,0.48691304347826087,1.9479725217391304,3.15962289880302,2.1,111.6785,75.21590995581066,85.7,102.9462,2.74,880246.0,20.65599601,21.50598434,6.92252232,124.9,-14.8
2010-01-01,100.9865,101.2538,107.308765264057,4.065905772954677,78.79194,151480.186246324,2727784.3,-0.369047619047619,0.71547619047619,0.027068,0.5100476190476191,1.9939796190476191,3.42187002022155,1.2,112.0602,77.81531712418861,84.4,103.5637,2.74,888510.0,16.27299873,17.02605384,6.36752896,125.2,-13.3
2010-02-01,101.2058,101.4012,116.032021318238,4.001920933151572,79.07701,151480.186246324,2727784.3,-0.369047619047619,0.71547619047619,0.037635,0.4337,1.9207649999999998,3.4442944043884305,1.2,111.7721,78.01589126445688,85.1,102.4847,2.74,891037.0,11.86419757,13.05008116,6.26048122,125.7,-12.6
